"payment_id","city","country","film_category","film_rating","payment_amount"
17503,"Ede","Netherlands","Horror","R","7.99"
17504,"Ede","Netherlands","Documentary","PG","1.99"
17505,"Ede","Netherlands","New","PG","7.99"
17506,"Ede","Netherlands","Classics","G","2.99"
17507,"Ede","Netherlands","Games","R","7.99"
17508,"Ede","Netherlands","Sci-Fi","G","5.99"
17509,"Boa Vista","Brazil","Foreign","R","5.99"
17510,"Boa Vista","Brazil","Horror","PG","5.99"
17511,"Boa Vista","Brazil","Sci-Fi","PG-13","2.99"
17512,"Mexicali","Mexico","Family","PG","4.99"
17513,"Mexicali","Mexico","Horror","R","6.99"
17514,"Mexicali","Mexico","Travel","PG","0.99"
17515,"Mexicali","Mexico","Foreign","PG-13","0.99"
17516,"Mexicali","Mexico","Foreign","NC-17","6.99"
17517,"Mexicali","Mexico","Sci-Fi","R","8.99"
17518,"Mexicali","Mexico","Documentary","PG-13","0.99"
17519,"Nukualofa","Tonga","Foreign","PG-13","3.99"
17520,"Nukualofa","Tonga","Music","NC-17","4.99"
17521,"Nukualofa","Tonga","Sports","PG-13","0.99"
17522,"San Lorenzo","Paraguay","Documentary","PG","0.99"
17523,"San Lorenzo","Paraguay","Comedy","R","4.99"
17524,"San Lorenzo","Paraguay","New","NC-17","0.99"
17525,"San Lorenzo","Paraguay","Horror","R","4.99"
17526,"Maikop","Russian Federation","Family","NC-17","5.99"
17527,"Maikop","Russian Federation","Comedy","PG","2.99"
17528,"Maikop","Russian Federation","Comedy","PG-13","2.99"
17529,"Daugavpils","Latvia","Drama","G","8.99"
17530,"Daugavpils","Latvia","Classics","NC-17","0.99"
17531,"Daugavpils","Latvia","Travel","G","4.99"
17532,"Daugavpils","Latvia","Family","NC-17","8.99"
17533,"Daugavpils","Latvia","Action","R","7.99"
17534,"Hsichuh","Taiwan","Games","NC-17","2.99"
17535,"Hsichuh","Taiwan","Foreign","PG-13","8.99"
17536,"Hsichuh","Taiwan","Action","G","0.99"
17537,"Imus","Philippines","Games","PG-13","2.99"
17538,"Imus","Philippines","Children","NC-17","0.99"
17539,"Imus","Philippines","Horror","NC-17","6.99"
17540,"Imus","Philippines","Comedy","PG","8.99"
17541,"Teboksary","Russian Federation","Animation","PG-13","3.99"
17542,"Teboksary","Russian Federation","Animation","G","0.99"
17543,"Teboksary","Russian Federation","Music","NC-17","2.99"
17544,"Teboksary","Russian Federation","Horror","G","0.99"
17545,"Zeleznogorsk","Russian Federation","Family","PG","5.99"
17546,"Zeleznogorsk","Russian Federation","Children","PG-13","0.99"
17547,"Zeleznogorsk","Russian Federation","Documentary","PG","2.99"
17548,"Bamenda","Cameroon","Games","NC-17","0.99"
17549,"Bamenda","Cameroon","Music","R","4.99"
17550,"Bamenda","Cameroon","Drama","PG-13","4.99"
17551,"Bamenda","Cameroon","Family","NC-17","4.99"
17552,"Bamenda","Cameroon","Foreign","R","4.99"
17553,"Pachuca de Soto","Mexico","Animation","PG-13","2.99"
17554,"Pachuca de Soto","Mexico","Documentary","G","7.99"
17555,"Pachuca de Soto","Mexico","Comedy","NC-17","6.99"
17556,"Santo Andr","Brazil","Drama","NC-17","0.99"
17557,"Santo Andr","Brazil","Documentary","NC-17","4.99"
17558,"Santo Andr","Brazil","Action","G","6.99"
17559,"Santo Andr","Brazil","Children","PG","2.99"
17560,"Matsue","Japan","Animation","NC-17","0.99"
17561,"Matsue","Japan","Action","PG","2.99"
17562,"Satna","India","Sports","PG-13","0.99"
17563,"Satna","India","Documentary","R","2.99"
17564,"Satna","India","Foreign","PG","4.99"
17565,"Bratislava","Slovakia","New","G","5.99"
17566,"Bratislava","Slovakia","Sci-Fi","PG-13","1.99"
17567,"Bratislava","Slovakia","Documentary","NC-17","1.99"
17568,"Bratislava","Slovakia","Sports","PG","6.99"
17569,"Ranchi","India","Sports","NC-17","2.99"
17570,"Ranchi","India","Animation","G","0.99"
17571,"Ranchi","India","Comedy","NC-17","5.99"
17572,"Ranchi","India","Family","PG-13","2.99"
17573,"Ranchi","India","Foreign","R","2.99"
17574,"Ranchi","India","Games","R","2.99"
17575,"Almirante Brown","Argentina","Music","NC-17","4.99"
17576,"Almirante Brown","Argentina","Sci-Fi","R","1.99"
17577,"Almirante Brown","Argentina","Music","R","0.99"
17578,"Almirante Brown","Argentina","Sci-Fi","PG","4.99"
17579,"Arecibo","Puerto Rico","Animation","G","0.99"
17580,"Arecibo","Puerto Rico","Family","PG-13","6.99"
17581,"Arecibo","Puerto Rico","New","G","3.99"
17582,"Arecibo","Puerto Rico","Animation","NC-17","6.99"
17583,"Yaound","Cameroon","Documentary","R","4.99"
17584,"Yaound","Cameroon","Foreign","PG-13","1.99"
17585,"Yaound","Cameroon","Children","PG","2.99"
17586,"Yaound","Cameroon","Children","PG-13","2.99"
17587,"Belm","Brazil","Classics","R","2.99"
17588,"Belm","Brazil","Drama","R","2.99"
17589,"Belm","Brazil","Action","R","2.99"
17590,"Belm","Brazil","Documentary","PG-13","2.99"
17591,"Belm","Brazil","Children","R","2.99"
17592,"Nyeri","Kenya","Action","G","4.99"
17593,"Nyeri","Kenya","Horror","R","4.99"
17594,"Nyeri","Kenya","Comedy","PG","4.99"
17595,"Nyeri","Kenya","Comedy","R","4.99"
17596,"Nyeri","Kenya","Travel","R","2.99"
